transcript_id,DMSO.1,DMSO.2,DMSO.3,JG1.1,JG1.2,JG1.3,M4.1,M4.2,M4.3
STM14_RS02590,1751,956,2297,1322,1439,2571,1525,2088,3564
STM14_RS02595,1878,1657,1958,1271,1542,1609,1762,1550,2442
STM14_RS02605,3043,2476,1799,1528,2417,2608,2495,2087,2576
STM14_RS02610,2269,2343,1966,1701,1991,2667,2282,1659,2843
STM14_RS02615,10385,9504,7988,7654,9243,6591,7803,10348,11530
STM14_RS02620,2760,2487,1801,1335,1293,1564,3085,2132,4489
STM14_RS02625,1142,756,1128,1046,1003,1150,1592,1109,2326
STM14_RS02630,30493,37203,26965,53729,55395,47076,24717,38559,15811
STM14_RS02635,5374,7768,5602,12182,10140,7966,4434,7103,3260
STM14_RS02640,632,502,457,270,309,402,797,487,1338
STM14_RS02645,6203,7954,6576,5235,5020,6518,8054,7926,11540
STM14_RS02650,6775,10555,8414,6069,7915,8124,7691,10357,9024
STM14_RS02655,9723,9797,10572,6939,6372,9165,12818,12701,23222
STM14_RS02660,8244,8074,8851,8591,8865,9451,9306,13072,14252
STM14_RS02665,707,559,422,376,608,623,655,419,669
STM14_RS02670,667,587,535,497,482,690,606,293,849
STM14_RS02675,2965,2545,2191,2101,2080,1970,2472,1364,2106
STM14_RS02685,25104,48754,60984,22403,15073,48740,11417,15270,28450
STM14_RS02690,647,609,490,413,405,502,566,687,589
STM14_RS02695,3394,2992,3056,2244,2488,3769,2237,2417,2003
STM14_RS02700,3364,2611,4458,3556,4328,6553,2686,4123,4515
STM14_RS02705,5849,4247,5204,4630,5877,6283,4763,6981,9614
STM14_RS02710,5077,6341,4907,4763,4726,6251,5200,6286,7940
STM14_RS02715,888,771,656,473,444,810,1212,1020,3103
STM14_RS02720,622,301,420,402,311,568,539,433,1410
STM14_RS02725,9687,4988,5843,7809,9411,8129,7446,9209,7077
STM14_RS02730,6396,5897,5497,4530,4064,4905,6096,6156,12573
STM14_RS02735,3975,2701,3298,2564,2313,3158,3135,2537,5602
STM14_RS02740,1620,1236,1350,1117,864,1287,1327,897,1711
STM14_RS02745,3143,2960,1812,1133,1189,1506,4062,2606,9112
STM14_RS02750,785,494,558,247,284,433,824,295,2145
STM14_RS02755,122,72,120,71,83,89,161,118,240
STM14_RS02760,157,99,144,105,112,175,151,119,233
STM14_RS02765,278,205,239,131,127,201,333,177,360
STM14_RS02770,441,318,437,428,399,480,352,410,604
STM14_RS02775,168,90,179,122,132,149,173,104,247
STM14_RS02780,258,85,274,112,97,281,161,60,315
STM14_RS02785,1164,590,1457,1359,1267,1591,804,1189,1088
STM14_RS02790,2045,2156,2598,2447,2609,3473,1946,2594,1902
STM14_RS02795,2147,2358,1934,1284,1942,1961,2836,2813,2165
STM14_RS02800,1578,1179,1393,775,1119,1354,1987,1600,2108
STM14_RS02805,596,403,320,131,188,253,644,235,678
STM14_RS02810,594,474,506,185,155,430,626,250,1331
STM14_RS02815,18964,21100,30386,35941,25725,43896,12196,25969,22886
STM14_RS02820,8428,12450,15085,16405,12227,21965,5967,11927,9779
STM14_RS02825,11571,15312,24284,25057,20447,36577,9134,17610,16432
STM14_RS02830,38356,57478,87441,75967,75209,126976,33677,64889,61757
STM14_RS02835,28333,44989,51793,53051,58758,75187,22095,39550,31315
STM14_RS02840,1530,1288,1724,889,759,1553,1444,1066,2615
STM14_RS02845,1677,1520,1268,1175,1634,1543,1651,1525,1964
STM14_RS02850,35527,22294,13095,25312,37506,21482,37584,38343,20393
STM14_RS02855,22346,35659,19878,11412,14295,14456,31909,41162,44371
STM14_RS02860,22817,21835,19537,17503,20214,21545,19045,17523,16941
STM14_RS02865,71917,87555,71670,74471,89725,75531,76652,120431,73772
STM14_RS02870,17199,20235,22725,22990,32607,35205,21686,33917,19405
STM14_RS02875,43553,27956,20018,11513,11673,22548,18270,16601,11158
STM14_RS02880,9182,9523,10393,6617,7051,10494,8983,7349,10448
STM14_RS02885,150,148,116,58,54,89,143,73,115
STM14_RS02890,14130,6370,4020,3006,5380,4180,22453,16984,9247
STM14_RS02895,5669,2881,3019,1843,2098,2804,6447,3069,3835
STM14_RS02900,1422,922,1966,1178,908,1842,1683,969,1245
STM14_RS02905,723,564,422,408,643,471,640,1027,807
STM14_RS02910,499,393,391,382,314,365,529,346,555
STM14_RS02915,908,687,682,622,697,988,1455,1690,1694
STM14_RS02920,1349,1216,1181,1113,1152,1553,1646,1394,2344
STM14_RS02925,1711,959,1476,1480,1420,2233,1405,1421,2432
STM14_RS02930,208,108,111,317,165,152,163,273,212
